text,label
"We conclude that the FSClow OX1low cells represent microglia which are smaller than macrophages and lymphocytes (Milligan et al., 1991) and have a lower OX1 expression than haematogenously derived cells (Sedgwick et al., 1991).",neutral
The higher value for NST than GST would be indicative of a phylogeographic structure (Pons and Petit 1996  Petit et al. 2005).,neutral
"The literature (Sugihara and Smith, 1997; Shahidi et al., 2004; Gerke, 1999; Gao and Tian, 2007; Zhao and Yan, 2005) shows most of the non-traditional algorithms are applied only for regular convex polygonal obstacles, not for irregular convex, concave polygonal or curved obstacles.",negative
"After the slow phase of cellularization, the network shifts into a fast phase of rapid furrow ingression and membrane addition is targeted to an apicolateral location (Lecuit and Wieschaus, 2000).",neutral
The D-HOTM system is based on the Text Mining Infrast ucture (TMI) developed by the parallel and distributed text mining lab at Lehigh University [20].,neutral
"These results are supported by previous published data highlighting that the miR-34 family, including miR-34a and miR-34b/c, acts as a tumor suppressor, able to inhibit different human tumor growth and invasion [36–39], including human LSCC [31–34].",positive
"This effect is virtually identical to what was reported for cells treated with cyclodextrin (Pontier et al., 2008; Allen et al., 2009).",positive
"bacterial species can drive major changes in the gut microbiota and, thus, influence the metabolic profile (Marcobal et al., 2013).",neutral
"We have sampled their data with 4 different methods: the insertion sorting algorithm (IS) and 2 variations of it and the binary tree method [7, 3].",neutral
"Cell viability results showing that lung cancer cells exhibit resistance to the cytotoxicity of high concentration of ATP in comparison to normal cells are consistent with published data that showed low (nearly undetectable) expression levels of P2X7R in lung cancer cells (20, 21, 39).",positive
"The absolute pose estimation of a perspective camera from n 2D–3D point correspondences is known in the literature as the Perspective n Point (PnP) problem, which has been widely studied in the last few decades [6, 13, 14, 8].",neutral
"Taken from the revised Chinese version of the Health Literacy Management Scale, this questionnaire was designed to cover multiple items related to health literacy, which are consistent with the theoretical content of health literacy as noted in the previous literature (1,2).",positive
"This conclusion is consistent with previous results (7, 21, 22) that suggest that the increase in ALC produced by the b-adrenergic agonists isoproterenol and terbutaline is characterized by an increase in the proportion of the total sodium transport that is amiloride-sensitive.",positive
"Over the last few years, many different local interest point detectors (like Harris3D [16], Cuboid [6], Hessian [35] or Dense sampling [33]) and many spatio-temporal descriptors (like HOG [17], HOG3D [14], HOF [17], Cuboid [6] or ESURF [35]) have been proposed.",neutral
"While beaked whales and large delphinids produce clicks with comparable energy flux source levels (Madsen et al. 2004, Zimmer et al. 2005, Au et al. 2007), they may hunt in quite different ambient noise environments.",neutral
"Rutin (3,3′,4′,5,7-pentahydroxyflavone-3-rhamnoglucoside, Figure 2) also called sophorin, rutoside, and quercetin-3rutinoside is a polyphenolic bioflavonoid, largely extracted from natural sources such as oranges, lemons, grapes, limes, berries, and peaches [30, 31].",neutral
"Interest in the use of CWs for remediation of runoff from agricultural irrigation and agro-industrial production has become increasingly popular over the last decades, due to their low capital and operational cost, low energy consumption, and environmental friendliness (Huett et al., 2005; Scholz, 2007; Carty et al., 2008).",positive
"PAR has been described using the image of a spiral (Williamson et al., 2004), and various authors report the suitability of the application of this method to the management of change within organizations (Coghlan and Casey, 2001; Coyer et al., 2007; Kelly and Simpson 2001).",positive
"These effects of locomotion on the baseline activity of Sst interneurons confirm some previous results (Polack et al., 2013) but they appear to disagree with other measurements (Fu et al., 2014).",negative
"The relationship between DNA content and absorbance at 600 nm is linear [17], allowing the amount of DNA in each unknown sample to be determined from the standard curve.",positive
"With respect to the contradicting results of other studies (Licausi et al., 2011; Weits et al., 2014), we propose that the air humidity during the recovery\nperiod is a crucial factor for the length of survival of submergence in darkness, which was shown here for treatment of the different genotypes…",negative
"We elected to take this course because formal methods for analyzing the efficiency of move ordering strategies in the alpha-beta search are unreported in the literature [27, 30], and as a result, practical experimentation is the accepted form of analysis in the state-of-the-art [26].",neutral
Nuclear localization of PTOV1 is required for the stimulation of cell proliferation (Santamaria et al. 2005,neutral
"The remaining medial portion of the bone was potted (Codsi and Iannotti, 2008, Hoenig et al., 2009, Kwon et al., 2010) in an epoxy resin cylinder (Struers A/S, Ballerup, Denmark) to obtain a secure fixation of the bone to the set up while simultaneously isolating the bone from deformations induced‚Ä¶",neutral
"The occurrence of soft tissue tumors in such field of low-dose irradiation (LDRI) has also been emphasized by other authors [50, 52, 53] reporting the development of tumors of the skull bone and neck after exposure to full-mouth diagnostic dental X-ray film [3] and to irradiation for enlarged tonsils [54] and thymus [55].",positive
"We consider 100 million single (and early) simulation points as determined by SimPoint [24], [25] in all of our experiments.",positive
"Third, we used a meta-analysis technique to assemble the results of eligible studies, and the pooled results were presented in the format of quantitative data; whereas in the systematic review by Jiang et al, they only described the previous relevant studies and did not give a quantitative analysis for these studies.(13) Although studies comparing between ACDF and ACCF have been done, the optimal approach that provides better clinical effects in the treatment of CSM remains controversial.",negative
Obesity is the central and causal component in metabolic syndrome and adipocytes produce a variety of biologically active molecules [9].,neutral
"A private key is required in the verifier side to generate N pseudo random locations to be used for retrieving the watermark; (2) a watermark is embedded into two or more halftoning images, where the retrieval approaches can be overlays of halftone images [15] or using a look up table (LUT) to decode the watermark [12].",neutral
"Following precipitation with 0.3MNaAc and 2× volume of ethanol, the RNA was treated with DNAseI (Sigma) and quantified in a NanoDrop 1000 Spectrophotometer.",neutral
"Mammalian Rap1 isoforms are perhaps best known for regulating integrinbased cell matrix adhesion (Bos, 2005; Kim et al., 2011), but Rap1 also regulates cell–cell AJs in both Drosophila and mice (Kooistra et al., 2007; Boettner and Van Aelst, 2009).",neutral
"The Intercontinental Chemical Transport Experiment B (INTEX-B) aircraft campaign over the North Pacific and western coast of North America made measurements of OH\nand HO2 (Mao et al., 2009; Singh et al., 2009).",neutral
"ICP-MS reports of sub-parts per billion detection limits, multielement analysis capabilities, and a wide linear dynamic range have made it an often used technique for wine elemental analysis [9].",positive
"In fact, Underwood (1957) made this very point when he observed that the sleeping subjects in Jenkins and Dallenbach’s (1924) classic sleep study did not avoid learning material that was similar to the study list, so avoidance of retroactive interference could not explain why sleep facilitates…",positive
EPA is also shown to attenuate renal fibrosis and TGF- 1 expression in a diabetic mice model (44).,neutral
"8\nTo validate the quality of our categorization, the next section discusses series of experiments that compare the performance of the vector space categorization approach with one of the top classifiers, Naïve-Bayes (Friedman et al., 1997).",positive
"These were derived from prior non-operative studies for inguinal hernia and ventral hernia [15, 23, 28, 29].",positive
"Gouveia and Martins [7] reviewed exact and lower bounding schemes, including earlier works of Gavish [4, 5], the branch-and-bound algorithm of Malik and Yu [10], the Lagrangean relaxation approach of Gouveia [6], and the cutting plane method of Hall [9].",positive
"…2010)\nLack of HPWS/HRM in Victorian health care organisations\nVictorian state public health care organisations report limited HRM/HPWS components (Leggat et al., 2008) Victorian state public hospitals report fewer aspects of HPWS then community health services (Leggat et al., 2006) CEOs, HR…",negative
"Neurotrophins have been proposed to play a role in neuronal survival, proliferation, maturation, and outgrowth during development, and to show neuroprotective functions after brain injury (3, 4).",neutral
Gadolinium enhancement of the inflamed tissues is usually present with MRI.(15) The present case varied slightly in that the foreign body was isointense to hyperintense on precontrast T1-weighted images with the surrounding inflammatory reaction also being hyperintense to muscle.,neutral
Northern blotting\n The ORF sequence for HvNAS1 (AB010086) was used to create an HvNAS1 probe (Suzuki et al. 2006).,neutral
"Findings of difficulties in locating the presented tactile stimuli, which were space- and not arm-based [32], and difficulties in deciding on the exact position and orientation of the limb or on the laterality of pictured hands in limb laterality recognition tests [29,42,48], are reminiscent of patients with poststroke",neutral
"An interdisciplinary approach has been advocated for in a broad range of healthcare fields, including primary care [1, 2], developmental disability assessment [3], com-",positive
"This i Attribution License (http://creativecommons.or in any medium, provided the original work is p\nthe formation and evolution of meteorite parent bodies (Ebihara et al. 2011; Nagao et al. 2011; Nakamura et al. 2011; Noguchi et al. 2011; Tsuchiyama et al. 2011; Yurimoto et al. 2011).",positive
"represent phases in a progressive deformation, with layer thickness as the evolving parameter [Ghent and Hansen, 1999].",neutral
"[30] focus on returning the fragments rooted at SLCA nodes, and propose an XML keyword search engine XSeek.",neutral
"The ethanol was gradually introduced into the diet over an 8-day period, as described previously (22, 24).",neutral
com) was used to digitally capture the referent and simulation data from [17].,neutral
Frequent methylation for TIMP3 (Kang et al. 2006) and CDH13 (Suehiro et al. 2008) in the present study concurs with previously published results in endometrial cancer.,positive
"This dysbiosis may impact the presence of interleukin-17 (IL17)-producing T-helper cells (Th17) and regulatory T cells (Tregs), as the development of these cells is heavily reliant on the microbial composition (Atarashi et al. 2011; Ivanov et al. 2009; Kriegel et al. 2011).",neutral
"ported lower levels in cases (15, 16, 19, 22); four reported higher levels in cases than in controls (18, 20, 23, 27); and one reported equal levels in cases and controls (17).",neutral
"delayed in monoamine oxidase A-deficient (Tg8) neonatal mice that display high 5-HT levels in the CNS (Cazalets et al., 2000).",neutral
"Concerning the adaptation to HMs in plants, woody plants and herbaceous may possess similar physiological and molecular mechanisms underlying HM uptake, transport, sequestration, and detoxification (Luo et al., 2016).",neutral
The importance of reliable M-shell Fe DR data has also been shown by the analyses of recent Chandra and XMM AGN spectra.,positive
"Several sample preparation methods have been employed for the elemental analysis of wines, including direct dilution by factors ranging from one to 10, UV-assisted digestion, and open or closed vessel acid digestion assisted by microwave radiation [4,6–12].",neutral
"Although it forms the largest ethnic minority group in the UK, the Asian community is not a culturally homogeneous group, a fact that has not been addressed in previous studies of childhood cancer in Asians (Stiller et al., 1991; Powell et al., 1994).",negative
"The epidemic curves in the Montreal network occasionally exhibit multiple peaks, driven by underlying community structure [56].",neutral
"Furthermore, tumor-associated macrophages secrete products, such as TGF- and IL-10 that suppress anti-tumor immune responses [14, 20, 10].",neutral
"This model has been improved by means of techniques and instruments of data acquisition: particularly, through the development of statistical packages applied to the different factors as well as through GIS softwares, used for the management and processing of georeferenced data for large areas (Johnston, 1998; Meijerink et al., 2003; Daniels, 2003).",positive
"Differences between central (aortic) and brachial BP could be clinically important, as central BP is more closely correlated with target organ damage in hypertension [4]; is differentially influenced by antihypertensive therapy compared with brachial BP [5]; and may be a superior predictor of cardiovascular events than brachial BP [6].",neutral
"In this section, we first present experimental results on CIFAR-10 [20] and ImageNet dataset [5] to justify that pattern binarization could reduce the effective number of parameters dramatically and fine-tuning other parameters of the binarized network with fixed binarized pattern could achieve comparable performance to that of the original neural network models.",positive
"Approximately 1/3 of the glucan in DGS is starch, indicating the need for amylase as well as cellulase (Kim et al., 2008a).",neutral
"Integrate the spectral and spatial information with the time component provides rich information to detail the space variations along the time [Petitjean et al., 2012] and can provide pattern observations, which are not found in single time observations, such as trends and periodicities [Kuenzer…",negative
A recent review by Kazan et al depicted current advancements in FHB pathogenomics and host resistance [26].,positive
"…is variation among ecosystems, the most common eVect of exposing plants to UV-B is a decrease in the intensity of insect herbivory (Ballaré et al. 1996; Rousseaux et al. 1998, 2004; Mazza et al. 1999b; Zavala et al. 2001; for reviews, see Ballaré et al. 2001; Caldwell et al. 2003; Bassman 2004).",positive
"Thirdly, ErbB-3 is characterized by a defective mechanism of clearance from the cell surface (Baulida et al., 1996; Pinkas-Kramarski et al., 1996): instead of ligand-induced internalization and degradation in lysosomes, a mechanism shared by many growth factor receptors (Sorkin and Waters, 1993), ErbB-3 is destined primarily to enter the recycling pathway (Waterman et al.",neutral
"These clusters of informative voxels, along with a cluster implicating the occipital cortex, have also been consistently found in neuroimaging studies using statistical parametric mapping (Bush et al., 2000; Colibazzi et al., 2010; Gerber et al., 2008; Hagan et al., 2009; Killgore and Yurgelun-Todd, 2004; Narumoto et al., 2001; Posner et al., 2009; Robins et al., 2009; Wager et al., 2008).",positive
"Combined arterial and venous thromboembolism was observed in six [14, 19, 25, 36].",positive
"Cases were identified and clinical data collected through the Genetic Studies of Human Developmental Disorders at the Medical College of Wisconsin, Milwaukee, WI or the A/M Clinical Registry at the Albert Einstein Medical Center, Philadelphia, PA.\n Genomic DNA was extracted using the Autopure LS system (Qiagen, Valencia, CA) from blood or buccal samples and the SOX2 coding region was amplified using primers: set 1 forward, 5'-AGT CCC GGC CGG GCC GAG-3', and set 1 reverse, 5'-GGT AGC CCA GCT GGT CCT G-3', and set 2 forward, 5'-CAA GAC GCT CAT GAA GAA GG-3', and set 2 reverse, 5'-TAC TCT CCT CTT TTG CAC CC-3'.",neutral
"[5,6,13,14] The abdominal superficial venous dominance is one of the most extended and accepted (but not proved) hypothesis for explaining the diffuse congestion as a large diameter SIEV may denote dominance over the deep venous system.[6] Blondeel et al.",positive
"be involved in protein binding (especially of albumin) in other epithelia (Kopp et al., 1992; Blazejewski et al., 1997), could perform this function at the blood–CSF interface.",neutral
"We began the analysis with open coding that involved examining interviews line by line to document the discovery of emerging codes and their properties (Beck, 2004; Chenitz & Swanson, 1986).",neutral
Figure 3 shows the fit of the model to the dynamics of divergence and diversity of patients S-P1—SP11 [13].,neutral
"The maintenance of close nest burrows (King 1989b; Viblanc et al. 2010), greater tolerance (King 1989a; V.A. Viblanc, C. Pasquaretta, C. Sueur, R. Boonstra & F.S. Dobson, unpublished results) and less infanticide (Dobson 1990; Stevens 1998) between kin during this highly energy constraining period…",neutral
"Previous work revealed that Dusp6 mutant mice exhibit increased pERK and Erm expression, skeletal dwarfism, craniosynostosis, and hearing loss [21].",neutral
"A number of clinical tools have been developed for the assessment of neuropathic pain, including the neuropathic pain questionnaire (NPQ) [2], ID Pain [3] and douleur neuropathique (DN4) [4] .",neutral
"…0.07– 0.97, 0.45–4.1, 7.4–8.9, 2.97–18.92 and 12–35 mg/kg) in leafy green plants from Malaysia, Sri Lanka, China, Kathmandu, India and Turkey, respectively (Aweng et al. 2011; Kananke et al. 2014; Zhuang et al. 2009; Shakya and Khwaounjoo 2013; Yadav et al. 2013; Türkdoğan et al. 2002).",neutral
…Comparative algorithms\nMost of exiting dynamic evolutionary algorithms were applied to moving peaks benchmark problem (MPB) (Mendes and Mohais 2005  Bui et al. 2005,positive
"4.2 the COLD-Saarb dataset is concisely described, while detailed information can be found in (Ullah et al 2008).",positive
Griffiths et al. (2007) demonstrate that the Topic model outperforms LSA in predicting word association and several other semantic phenomena.,positive
It was anticipated that inter-individual variability would be higher in a pediatric population [14]  therefore individual variability was set at 50% for ka (as opposed to 27% in adolescents [12]).,positive
"…exercise-induced breast pain (Bridgman et al., 2010; Scurr et al., 2010), and consequently breast biomechanics research has made recommendations to wear a high level of breast support (sports bra) when exercising to reduce breast pain (Bridgman et al., 2010; Scurr et al., 2010; White et al., 2009).",neutral
"Addition of the calcium ionophore A23187, a compound known to increase the concentration of cytosolic Ca (Reed and Lardy 1972) decreased diosgenin production in T.",neutral
"Maintaining a negative DCm induces Ca 21 accumulation in mitochondria (11, 12, 19).",neutral
"These concentrations of fluoxetine and propranolol were chosen in order to represent high environmental concentrations (based on surface water, wastewater effluent, and predicted environmental concentrations) up to those shown to result in effects on fish [26–29], or where the fish plasma model [30] would predict concentrations above human therapeutic levels (Cmax).",positive
"Although predicting assay success rates based on the 50% duplication estimate of Allendorf & Thorgaard (1984) is subject to errors based on a large number of factors, our results are surprisingly consistent with their estimate.",positive
"The moonlighting functions of several canonical metabolic enzymes have been described in mammals, fungi, plants, and protozoa (12, 13, 44).",neutral
Human epidermal growth factor receptor type 2 (HER2) is located on chromosome 17q21 and is a transmembrane tyrosine kinase growth factor receptor [12].,neutral
"In support of this assumption, in ARDS patients, TRAIL levels in the BAL fluid were correlated with clinical severity and the presence of neutrophils, which are also the major infiltrating cells in reovirus 1/L-induced ARDS (20, 84).",positive
Reports of use of other multikinase inhibitors in sarcoma such as imatinib have not been very encouraging [22] or restricted to a smaller patient sub-population such as use of crizotinib in ALK driven tumors [23].,negative
"Most of these probably had an endobenthic lifestyle, because their morphology is similar to that of extant taxa under such conditions [Corliss, 1991; Buzas et al., 1993; Jorissen et al., 2007].",neutral
"Data from 2 studies not considered in the Cal-20 bet and Landry analysis, Verity and Vernet (1992) and Olson and Strom (2002) were included.",neutral
"A similar pattern of CF labeling was observed with Tbx18-Cre (5), another epicardial-specific Cre driver (Supplemental Figure 4, B and C).",positive
"In this chapter we will present the formalism for these different kinds of beamformers in their scalar form, then develop the formalism for a vector beamformer (Sekihara et al., 2001, Quraan and Cheyne 2010) and an eigenstate-projected vector beamformer (Sekihara et al., 2001).",neutral
"The frequency and also the mutation pattern we found were in concordance with the data from the literature (Ohashi et al, 1995).",positive
It has been previously reported that chronic exposure to glucocorticoid can inhibit gonadotropin (LH and FSH) secretion as evidence by decrease responsiveness to administered GnRH and subnormal plasma testosterone.(16) LH is the hormone involved in the regulation of the steroidogenic acute regulatory (StAR) protein that deliver cholesterol to inner mitochondria for steroidogenesis in the Leydig cell.,neutral
Andes have been eroded by the Patagonian ice sheet and are much lower and narrower (Garzione et al. 2008,neutral
"that can destroy tumor cells but are instead induced to suppress anti-tumor immune responses by releasing elevated levels of the immune suppressive products, nitric oxide, IL10 and TGF- , and down-regulating levels of the immune stimulatory product IL-12 [10, 17, 14, 20].",neutral
"Potassium (Kþ) channels have the greatest amount of diversity among ion channels in the plasma membrane, which are encoded by over 75 distinct genes [2].",neutral
"Suppression subtractive hybridization and differential hybridization screening To compare gene expression in GC collected from OF versus DF, the suppression subtractive hybridization (SSH) was performed as previously described [8].",neutral
Shi and Liu (2000) built a kind of g-band model of random line object based on stoma process.,neutral
…tool for clinicians interested in understanding the impact of drug therapy on the control of HIV and the associated problem of drug resistance (Bonhoeffer et al. 1997,neutral
"3B), MBD1–3 and MBD5–6 act as two independent structural units and the orientation of MBD1-3 agrees with the data from recent small-angle X-ray scattering (SAXS) experiments (Yu et al. 2017b).",neutral
"One approach, such as the three-step search (TSS)[1], and twodimensional logarithm search (TDL)[2], new three-step search (N3SS)[3], efficient three-step search (E3SS)[4], and cross search (CS)[5] employ coarse-to-fine searching to reduce the number of search points.",neutral
"In Table 1, we also include the 40-core times for a modified version of the best publicly available parallel suffix tree code of Blelloch and Shun [2] (labeled PST).",positive
"Consistent with previous results (Koroch et al. 2002; Liu et al. 2002; Staniszewska et al. 2003; Washida et al. 2004), the addition of IBA at optimum levels enhanced the growth of HRC of Echinacea but had no effect on the production of secondary metabolites.",positive
"kestrels, Falco tinninculus [40]) have been shown to benefit from supplementary feeding, our results go further, showing that supplementary feeding alone does not fully explain the positive ramifications that we have demonstrated for vineyard habitat.",positive
proposed a pattern matching algorithm that reduced total memory requirements by sharing common infixes of target patterns [4].,positive
intrauterine pregnancy.(9) We present this data in aggregate and by physician to better represent individual variation in ability to identify an intrauterine pregnancy.,positive
"Although they mimic many phorbol ester effects, including inhibition of cell-cell communication (25, 26), they have been reported not to induce differentiation of HL-60 cells (27) or to inhibit maturation of granulosa cells (28).",neutral
suggested that there was little evidence of the contribution of methylation to downregulation of miR-99a [10].,negative
"Instruments to evaluate the impact of hearing loss on QoL Assessment of QoL deterioration due to hearing loss can be achieved through several instruments, as reported in different studies in the literature.(8,9) These can be divided into hearing-related QoL instruments (Table 1) and generic QoL instruments.",neutral
"While we cannot exclude alternative models, our findings are consistent with models in which TRIM5≈í¬± engages lentiviral CA through two sets of contacts, one in the structurally conserved ≈í‚â§-hairpin and the second at the junction between binding sites of at least four cellular cofactors [25, 78, 79].",positive
"…allowed to walk freely for 1 h as a group inside a Petri dish (100 x 15 mm) lined with filter paper (Whatman Qualitative no. 5, particle retention > 2.5 μm) moistened with 1.0 ml of a suspension containing 2 x 10 8 conidia/ml (high dose) or 6 x 10 6 conidia/ml (low dose) (Rosengaus et al. 1998).",neutral
"Examination of plaque formation and growth curves were performed by standard methods as previously described (10, 35).",neutral
A recent report (Teixeira et al. 2007) corroborated some of the previous observations and found that the o/w microemulsion was effective in reducing the cell numbers and preformed biofilms of five food-borne pathogens but lost all antimicrobial properties when diluted by the addition of water due‚Äö√Ñ¬∂,positive
Fluorescence studies The GFP-PlyG fusion protein was expressed and purified as described [46].,neutral
"In [37], DWT coefficients in each color components are modeled jointly by Multivariate Generalized Gaussian (MGG), and geodesic distance is used as the similarity measure.",neutral
"However, our previous data on healthy paediatric patients (age 3 to 18 years) undergoing catheterisation for atrial septal defect closure resulted in a transfer function with the same peak at the fourth harmonic as demonstrated by Nichols and O’Rourke [8] suggesting the validity of this technique [9].",positive
"Prdm1 (encoding Blimp-1) has known roles in effector CD8+ and CD4+ T cell differentiation (Rutishauser et al., 2009; Shin et al., 2009; Johnston et al., 2009).",neutral
"Cochrane Collaboration tool for assessing risk of bias was used to assess the quality of randomized controlled trials, using the following criteria: (1) randomization sequence generation: assessment for selection bias; (2) allocation concealment: assessment of selection bias; (3) level of blinding (blinding of participants and blinding of outcome assessment): assessment for performance bias and detection bias; (4) incomplete outcome data: assessment for attrition bias; and (5) selective reporting: assessment for reporting bias.",neutral
"This research used the prediction function of Sutheebanjard and Premchaiswadi [5] where the important factors namely, the Down Jones index, the Hang Seng index, the Nikkei index and domestic MLR were taken into account as shown in (2).",neutral
"However, the mechanisms of this effect are controversial (1, 2, 46, 53, 57).",negative
"It has become a standard component in most prevalent CNN architectures like Inception [27], ResNet [8], DenseNet [13], etc.",positive
It is possible that inflammation of the lymphatic vessels and cisterns provokes an increase in their endoluminal pressure and permeability of the walls leading to extravasation of chyle [3].,neutral
"To measure the power consumption of each application and component, we used an open source software called PowerTutor [98] and a profiling tool, called Trepn, provided",neutral
"Mechanistically, gametic and somatic DMRs both require the maintenance of DNA methylation by DNMT1 (Caspary et al., 1998; Bhogal et al., 2004).",neutral
"Additionally, several authors have reported cases where prolactin secreting adenomas either came to diagnosis or increased in size after exogenous estrogen administration or during pregnancy [4,5,7,8,9].",neutral
"we take one real DHT system Kad [1] as a case for study, which is the first widely-deployed Kademlia-based [17] DHT file-sharing system.",neutral
"If we choose a sufficiently large β which eliminates consistencies between all worker pairs, Algorithm 1 collapses to the traditional semi-supervised algorithm [25] by treating all workers independently.",neutral
"Notice that PCA can be seen as the basis of several other multivariate data analysis methods such as PLS (McIntosh et al., 1996; Lobaugh et al., 2001), whereby it is restricted to the brain–behavior covariate matrix.",positive
The distribution of Lagrangian coherent structures (LCS)—the flow boundaries in unsteady flows—can be further extracted as the ridges in stochastic FTLE fields [2].,neutral
